MAC,RSSI,DISTANCE,Comment,date,hour
d0:60:10:20:30:40,-69,1.5,Zone B (chambre X),2024-08-06,10:33:38
c8:99:44:55:66:77,-66,0.5,Zone A (outillage),2024-08-06,10:33:38
d0:60:10:20:30:40,-73,1.5,Zone B (chambre X),2024-08-06,10:41:50
c8:99:44:55:66:77,-64,0.5,Zone A (outillage),2024-08-06,10:41:50
d0:60:10:20:30:40,-73,300,Zone B (chambre X),2024-08-06,10:42:06
c8:99:44:55:66:77,-77,99,Zone A (outillage),2024-08-06,10:42:06
c8:99:44:55:66:77,-62,99,Zone A (outillage),2024-08-06,10:42:09
c8:99:44:55:66:77,-62,99,Zone A (outillage),2024-08-06,10:42:23
c8:99:44:55:66:77,-75,99,Zone A (outillage),2024-08-06,10:42:24
c8:99:44:55:66:77,-68,99,Zone A (outillage),2024-08-06,10:42:25
c8:99:44:55:66:77,-67,99,Zone A (outillage),2024-08-06,10:42:27
